N.º de Registo;Autor;Título;Vol.;Editor;Local de Edição;Data de entrada;Modo de Aquisição;Material Acompanhante;;;estantes;prateleira
229;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;11;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
230;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;12;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
231;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;14;Editorial Enciclopédia;Lisboas;03/10/2011;Oferta;;;;;
232;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;16;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
233;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;17;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
234;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;19;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
235;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;20;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
236;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;21;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
237;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;22;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
238;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;23;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
239;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;24;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
240;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;25;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
241;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;26;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
242;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;27;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
243;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;31;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
244;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;35;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
245;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;36;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
246;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;38;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
247;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;39;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
248;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa Brasileira;40;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
249;João Pedro Silveira,José Couto Nogueira;Portugal passo a passo : Algarve ;;Clube Internacional do Livro;Amadora;06/10/2011;Oferta;;;;;
250;Ana Mendes Henriques, Nuno Xavier Casimiro;Portugal passo a passo : Douro Litoral ;;Clube Internacional do Livro;Amadora;06-10-20011;Oferta;;;;;
251;Fernando Sobral;Portugal passoa passo : Ribatejo;;Clube Internacional do Livro;Amadora;06/10/2011;Oferta;;;;;
252;Ana Castro Freire, José Couto Nogueira, Rui Pereira;Portugal passo a passo : Estremadura;;Clube Internacional do Livro;Amadora;06/10/2011;Oferta;;;;;
253;João Ribeiro;Portugal passo a passo : Minho;;Clube Internacional do Livro;Amadora;06/10/2011;Oferta;;;;;
254;João Carlos Silva, Rui Tavares;Portugal passo a passo : Trás-os-Montes e Alto Douro;;Clube Internacional do Livro;Amadora;06/10/2011;Oferta;;;;;
255;Helen Matos, Rui Pereira;Portugal passo a passo : Beira Alta e Beira Baixa;;Clube Internacional do Livro;Amadora;06/10/2011;Oferta;;;;;
256;José Luís Peixoto;Évora ao espelho;;Câmara Municipal;Évora;06/10/2011;Oferta;;;;;
257;Instituto do Emprego e Formação Profissional - Deleg. Reg. do Alentejo;Artesanato da Região Alentejo;;I.E.F.P.;[Évora;06/10/2011;Oferta;;;;;
258;Jornal Expresso;Guia Expresso das cidades e vilas de históricas de Portugal;;Expresso;[Lisboa];06/10/2011;Oferta;;;;;
259;Dawn Sirett;Cucuuu com sons;;Civilização;Porto;19/10/2011;Compra;;;;;
260;coord. Carlos Marinho Falcão… [et al.];Toca a… : entrar na escola;5;Hospital do Espírito Santo de Évora;Évora;19/10/2011;Oferta;;;;;
261;coord. Carlos Marinho Falcão;Toca a… : lidar com o ciúme fraterno;7;Hospital do Espírito Santo de Évora;Évora;19/10/2011;Oferta;;;;;
262;coord. Manuela Fialho, Paula Monteiro;Toca a … lidar com a gaguez;8;Hospital do Espírito Santo de Évora;Évora;19/10/2011;Oferta;;;;;
263;trad., rev. e adapt. Departamento Ed. Centralivros ;Brinquedos;;Centralivros;[Lisboa];19/10/2011;Compra;;;;;
264;Emanuela Bussolati;A natureza;;La Coccienella;[S.l.];19/10/2011;Compra;;;;;
265;Pingo Doce;Avô;;Alêtheia;Lisboa;19/10/2011;Compra;;;;;
266;Pingo Doce;Avó;;Alêtheia;Lisboa;19/10/2011;Compra;;;;;
267;Pingo Doce;Pai;;Alêtheia;Lisboa;19/10/2011;Compra;;;;;
268;Pingo Doce;Mãe;;Alêtheia;Lisboa;19/10/2011;Compra;;;;;
269;Pingo Doce;Irmã;;Alêtheia;Lisboa;19/10/2011;Compra;;;;;
270;Sarah Bouyssou;O jipe do Noddy;;Asa;Lisboa;19/10/2011;Compra;;;;;
271;Jon Brown Junior;Noddy e o arco-íris;1;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
272;Jon Brown Junior;Dez moedas para Noddy;2;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
273;Jon Brown Junior;Noddy e o feitiço para dançar;3;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
274;Jon Brown Junior;Noddy e o jogo de futebol;4;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
275;Jon Brown Junior;Noddy ajuda o Skippy Skittle;6;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
276;Jon Brown Junior;Noddy e o mapa do tesouro;7;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
277;Jon Brown Junior;Noddy e a galinha perdida;8;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
278;Jon Brown Junior;A roupa do Noddy foge;9;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
279;Jon Brown Junior;Noddy e a gaita-de-foles;10;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
280;Jon Brown Junior;O avião do Noddy;11;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
281;Jon Brown Junior;Noddy e o clockwork mouse;12;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
282;Jon Brown Junior;Onde está o guizo do Noddy?;13;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
283;Jon Brown Junior;Ouve, Noddy;14;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
284;Jon Brown Junior;Noddy e o relógio mágico;15;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
285;Jon Brown Junior;Noddy pinta um quadro;16;Planeta DeAgostini;[Lisboa];19/10/2011;Compra;;;;;
286;Andreia Sousa;A União Europeia e o Tratado de Lisboa;;Governo Civil de Évora;Évora;02/11/2011;Oferta;;;;;
287;coord. Norberto Rosado, Jorge Roque;Cancioneiro : a cantar Portel;;Grupo Coral de Cantares Regionais de Portel;Portel;02/11/2011;Oferta;;;;;
288;Ana Maria Magalhães, Isabel Alçada;A Europa dá as mãos;;Representação da Comissão Europeia em Portugal;Lisboa;02/11/2011;Oferta;;;;;
289;Luis Cipriano;Zéthoven e Beethoven;;Grácio;Coimbra;02/11/2011;Oferta;;;;;
290;Ministério da Administração Interna;100 conselhos de segurança;;MAI;Lisboa;02/11/2011;Oferta;;;;;
291;Ministério da Economia e da Inovação;Guia do consumidor;;Direcção-Geral do Consumidor;Lisboa;02/11/2011;Oferta;;;;;
292;concep. Margarida Santos;Fui Bombeiro por um dia;;Governo Civil de Évora;Évora;02/11/2011;Oferta;;;;;
293;concep. Margarida Santos;Bombeiros (de) todos nós! : bateria de jogos;;Governo Civil de Évora;Évora;02/11/2011;Oferta;;;;;
294;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : vamos à quinta;A;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
295;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : vamos ao Jardim Zoológico;B;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
296;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : vamos aprender regras de trânsito;C;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
297;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : brincar e aprender na natureza;D;Estúdio Didáctica;Lisboa;09/11/2011;compra;;;;;
298;coord. Maria Purificação Mil-Homens de Matos;Lógico primo : como usar o vestuário;E;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
299;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : vamos às compras;F;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
300;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : cores e formas;G;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
301;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : qualidades e números;H;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
302;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : ver e falar;I;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
303;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : descobrir e combinar;J;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
304;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : vamos para a escola;K;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
305;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : cantar e comparar;L;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
306;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : jogos de concentração;M;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
307;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : quando estou doente;N;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
308;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : brincar e descobrir;O;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
309;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : construir, pintar e desenhar;P;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
310;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : jogos de lógica;Q;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
311;coord. Maria Purificação Mil-Homens de Matos;Lógico Primo : estações e meses do ano;R;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
312;revis . cient. Joana Maria Pacheco de Castro… [et al.] ;Lógico Piccolo : matemática 1 : adição e subtração de 0 a 20;AA;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
313;revis . cient. Joana Maria Pacheco de Castro… [et al.] ;Lógico Piccolo : matemática 1 : adição e subtração de 0 a 100;BB;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
314;revis . cient. Joana Maria Pacheco de Castro… [et al.] ;Lógico Piccolo : matemática 1 : multiplicação;CC;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
315;revis . cient. Joana Maria Pacheco de Castro… [et al.] ;Lógico Piccolo : matemática 1 : divisão e multiplicação;DD;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
316;coord. José Orlando Strecht Ribeiro;Lógico Piccolo : português : vamos ler 1 : ouvir para saber ler;S;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
317;coord. José Orlando Strecht Ribeiro;Lógico Piccolo : português : vamos ler 2 : juntar letras, criar frases;T;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
318;coord. José Orlando Strecht Ribeiro;Lógico Piccolo : português : ler mais e melhor 1 : saber ler e aprender;U;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
319;coord. José Orlando Strecht Ribeiro;Lógico Piccolo : português : ler mais e melhor 2 : gostar de ler;W;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
320;coord. José Orlando Strecht Ribeiro;Lógico Piccolo : português : brincar com as palavras 2 : saber procurar para saber;V;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
321;coord. José Orlando Strecht Ribeiro;Lógico Piccolo : português : brincar com as palavras 1 : olhar e descobrir;Y;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
322;revis . cient. Joana Maria Pacheco de Castro… [et al.] ;Lógico Piccolo : matemática 1 : relação entre números de 0 a 20;X;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
323;revis . cient. Joana Maria Pacheco de Castro… [et al.] ;Lógico Piccolo : matemática 1 : relação entre números de 0 a 100;Z;Estúdio Didáctica;Lisboa;09/11/2011;Compra;;;;;
324;António Cebola;Projectos de investimento de Pequenas e Médias Empresas : elaboração e análise;;Sílabo;Lisboa;23/11/2011;Compra;;;;;
325;trad. Ana Pereira;Os números debaixo do mar;;D. Quixote;Alfragide;23/11/2011;Compra;;;;;
326;concep. Pat Hegarty;O meu dia;;Edicare;Lisboa;23/11/2011;Compra;;;;;
327;concep. Nord Compo;Mai 68 : le pave;;Fetjaine;[S.l.];23/11/2011;Compra;;;;;
328;trad. Leya;Animais da quinta;;D. Quixote;Alfragide;23/11/2011;Compra;;;;;
329;trad. Maria João Camacho;A galinha do Noddy;;Verbo;Lisboa;23/11/2011;Compra;;;;;
330;Guilhermina Rebelo de Andrade;Noddy em mudanças;;Verbo;Lisboa;23/11/2011;Compra;;;;;
331;José Saramago;Évora : património da humanidade;;Câmara Municipal;Évora;07/12/2011;Oferta;;;;;
332;prod. ATAEGINA - Associação de Produções Culturais;Do tamanho do mundo;;[s.e.];[S.l.];07/12/2011;Oferta;;;;;
333;Tony Ross;Eu quero ir para casa!;;Ana Paula Faria;Lisboa;21/06/2012;Compra;;;;;
334;Graça Breia;O gato gatão;;Cercica;Cascais;21/06/2012;Compra;;;;;
335;Anabela Batista;O gigante e os morangos;;Everest;Rio de Mouro;21/06/2012;Compra;;;;;
336;Ana Maria Magalhães, Isabel Alçada;Uma aventura no Palácio da Pena;;Caminho;Lisboa;21/06/2012;Oferta;;;;;
337;Sue Bentley;Gatinho mágico : sonhos de estrela;;Civilização;Porto;21/06/2012;Oferta;;;;;
338;Luis Sepúlveda;História de uma gaivota e do gato que a ensinou a voar;;Porto Editora;Porto;21/06/2012;Oferta;;;;;
339;Daisy Meadows;Céu, a fadazinha azul;;Verbo;Lisboa;21/06/2012;Oferta;;;;;
340;F. Lelarge;Mais de 160 piadas de bolso;;Civilização;Porto;21/06/2012;Oferta;;;;;
341;Ana Maria Magalhães, Isabel Alçada;Uma viagem ao tempo dos castelos;;Caminho;Lisboa;21/06/2012;Oferta;;;;;
342;Jack London;Dente branco;;Porto Editora;Porto;21/06/2012;Oferta;;;;;
343;Martha Steinmeyer;Sorrisos e luzes;;Everest;Rio de Mouro;26/07/2012;Oferta(Pólo Elvas);;;;;
344;[S.A.];Os dinossauros : descoberta, espécies, extinção;;Contmedia;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
345;[S.A.];Os dinossauros : descoberta, espécies, extinção;;Contmedia;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
346;Ursula Ritter;Hoje festejamos um aniversário;;Everest;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
347;[S.A.];A galinha vermelha;4;Anytime Books;Canada;26/07/2012;Oferta (Pólo Elvas);;;;;
348;Résie Pouyanne;Nuno e Carolina : todo o ano em festa;;Verbo;Lisboa;26/07/2012;Oferta (Pólo Elvas);;;;;
349;Il. Stefan Lohr;O meu divertido livro de adivinhas;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
350;Il. Stefan Lohr;O meu divertido livro de adivinhas;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
351;Il. Roger De Klerk;O meu livro de pintar preferido;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
352;[S.A.];As 365 melhores fábulas : uma para cada dia;;Girassol;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
353;Direc. Editorial Raquel López Varela;Antologia dos contos tradicionais;;Everest;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
354;Trad. Manuela Ramalho, Margarida Pogarell;O meu livro pré-escolar : combinações lógicas;;Vemag;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
355;[S.A.];Contar;;Servilibro;Madrid;26/07/2012;Oferta (Pólo Elvas);;;;;
356;[S.A.];A terra : oceanos, continentes, universo;;Contmedia;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
357;[S.A.];A terra : oceanos, continentes, universo;;Contmedia;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
358;Luísa Ducla Soares;A Fada Palavrinha e o gigante das bibliotecas;;Horizonte;Lisboa;26/07/2012;Oferta (Pólo Elvas);;;;;
359;Luísa Ducla Soares;A Fada Palavrinha e o gigante das bibliotecas;;Horizonte;Lisboa;26/07/2012;Oferta (Pólo Elvas);;;;;
360;Graça Gonçalves;A árvore da família no coração;;Gostar;Aveiro;26/07/2012;Oferta (Pólo Elvas);;;;;
361;Ariane Le Fort;Matias e Amadou : o que é a cooperação para o desenvolvimento;;Comissão Europeia;Luxemburgo;26/07/2012;Oferta (Pólo Elvas);;;;;
362;[S.A.];Sumar;;Servilibro;Madrid;26/07/2012;Oferta (Pólo Elvas);;;;;
363;Gilbert Delahaye;Anita e a tia Lúcia;;Verbo Infantil;Lisboa;26/07/2012;Oferta (Pólo Elvas);;;;;
364;trad. João Dias;As profissões;;Caramel;Bélgica;26/07/2012;Oferta (Pólo Elvas);;;;;
365;des. Christian Ortega;Os animais selvagens;;Caramel;Bélgica;26/07/2012;Oferta (Pólo Elvas);;;;;
366;des. Christian Ortega;Os animais;;Caramel;Bélgica;26/07/2012;Oferta (Pólo Elvas);;;;;
367;Jorge Manuel Henriques Amado;A Guarda e a natureza;;Guarda Nacional Republicana;Lisboa;26/07/2012;Oferta (Pólo Elvas);;;;;
368;Graça Gonçalves;A árvore da família no coração;;Gostar;Aveiro;26/07/2012;Oferta (Pólo Elvas);;;;;
369;Direc. Editorial Raquel López Varela;Antologia das histórias tradicionais;;Everest;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
370;il. Roger De Klerk;O meu livro de imagens para procurar : viaturas;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
371;il. Roger De Klerk;O meu livro de imagens para procurar : na obra;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
372;[S.A.];O universo : sistemas estrelares, planetas, galáxias;;Contmedia;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
373;[S.A.];O universo : sistemas estrelares, planetas, galáxias;;Contmedia;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
374;[S.A.];Os números;;Impala;Queluz;26/07/2012;Oferta (Pólo Elvas);;;;;
375;Il. Roger De Klerk;O meu livro de imagens para procurar : no trânsito;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
376;[S.A.];O corpo humano : órgãos, sistemas, funções;;Contmedia;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
377;[S.A.];O corpo humano : órgãos, sistemas, funções;;Contmedia;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
378;Trad. Manuela Ramalho, Margarida Pogarell;O meu livro pré-escolar : a natureza;;Vemag;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
379;Oriol Nos;Física & água;;Plátano;Lisboa;26/07/2012;Oferta (Pólo Elvas);;;;arte e ciência;E
380;Alícia Rodríguez;Máquinas & ferramentas;;Plátano;Lisboa;26/07/2012;Oferta (Pólo Elvas);;;;arte e ciência;E
381;Oriol Nos;Transportes & Comunicações;;Plátano;Lisbos;26/07/2012;Oferta (Pólo Elvas);;;;arte e ciência;E
382;Il. Stefan Lohr;As mais belas mandalas;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
383;Il. Stefan Lohr;As mais belas mandalas;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
384;Il. Stefan Lohr;O grande livro de ponto a ponto;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
385;Il. Stefan Lohr;O grande livro de ponto a ponto;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
386;Il. Roger De Klerk;O meu livro de pintar preferido;;[s.e.];[S.l.];26/07/2012;Oferta (Pólo Elvas);;;;;
387;Disney;Toy Story 2;;Salvat;Barcelona;26/07/2012;Oferta (Pólo Elvas);;;;;
388;Trad. Manuela Ramalho, Margarida Pogarell;O meu livro pré-escolar : a terra;;Vemag;Colónia;26/07/2012;Oferta (Pólo Elvas);;;;;
389;dir. Sérgio Sánchez Cerezo;Enciclopédia de educação infantil ;1;Nova Presença;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
390;dir. Sérgio Sánchez Cerezo;Enciclopédia de educação infantil ;2;Nova Presença;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
391;dir. Sérgio Sánchez Cerezo;Enciclopédia de educação infantil ;3;Nova Presença;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
392;dir. Sérgio Sánchez Cerezo;Enciclopédia de educação infantil ;4;Nova Presença;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
393;dir. Sérgio Sánchez Cerezo;Enciclopédia de educação infantil ;5;Nova Presença;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
394;dir. Sérgio Sánchez Cerezo;Enciclopédia de educação infantil ;6;Nova Presença;Rio de Mouro;26/07/2012;Oferta (Pólo Elvas);;;;;
395;dir. edit. Rogério Moreira;A minha primeira biblioteca : a vida dia a dia;;Marus;Estoril;27/09/2012;Oferta;;;;;
396;dir. edit. Rogério Moreira;A minha primeira biblioteca : coisas que nos rodeiam;;Marus;Estoril;27/09/2012;Oferta;;;;;
397;dir. edit. Rogério Moreira;A minha primeira biblioteca : animais de estimação;;Marus;Estoril;27/09/2012;Oferta;;;;;
398;dir. edit. Rogério Moreira;A minha primeira biblioteca : coisas que podes fazer;;Marus;Estoril;27/09/2012;Oferta;;;;;
399;dir. edit. Rogério Moreira;A minha primeira biblioteca : saúde e segurança;;Marus;Estoril;27/09/2012;Oferta;;;;;
400;dir. edit. Rogério Moreira;A minha primeira biblioteca : o tempo;;Marus;Estoril;27/09/2012;Oferta;;;;;
401;dir. edit. Rogério Moreira;A minha primeira biblioteca : o mundo em que vivemos;;Marus;Estoril;27/09/2012;Oferta;;;;;
402;dir. edit. Rogério Moreira;A minha primeira biblioteca : exploradores e aventureiros;;Marus;Estoril;27/09/2012;Oferta;;;;;
403;dir. edit. Rogério Moreira;A minha primeira biblioteca : o mundo dos insectos;;Marus;Estoril;27/09/2012;Oferta;;;;;
404;dir. edit. Rogério Moreira;A minha primeira biblioteca : artes e música;;Marus;Estoril;27/09/2012;Oferta;;;;;
405;dir. edit. Rogério Moreira;A minha primeira biblioteca : a origem das coisas;;Marus;Estoril;27/09/2012;Oferta;;;;;
406;dir. edit. Rogério Moreira;A minha primeira biblioteca : modos de agir e pensar;;Marus;Estoril;27/09/2012;Oferta;;;;;
407;dir. edit. Rogério Moreira;A minha primeira biblioteca : inventos;;Marus;Estoril;27/09/2012;Oferta;;;;;
408;dir. edit. Rogério Moreira;A minha primeira biblioteca : o nosso corpo;;Marus;Estoril;27/09/2012;Oferta;;;;;
409;dir. edit. Rogério Moreira;A minha primeira biblioteca : geografia;;Marus;Estoril;27/09/2012;Oferta;;;;;
410;Sally Altschuler;O caçador de dragões;;Leo Pharma;Copenhaga;27/09/2012;Oferta;;;;;
411;Carlos Reviejo;O porquê das coisas;;Girassol;Sintra;27/09/2012;Oferta;;;;;
412;Luísa Ducla Soares;A Fada Palavrinha e o Gigante das Biblioteca;;Horizonte;Lisboa;27/09/2012;Oferta;;;;;
413;Papiniano Carlos;A viagem de Alexandra;;Arca das Letras;Lisboa;27/09/2012;Oferta;;;;;
414;Papiniano Carlos;A viagem de Alexandra;;Arca das Letras;Lisboa;27/09/2012;Oferta;;;;;
415;Papiniano Carlos;A viagem de Alexandra;;Arca das Letras;Lisboa;27/09/2012;Oferta;;;;;
416;Ana Rito, Ana Lúcia Silva;Manual de nutrição infantil;;Marcador;Barcarena;26/10/2012;Compra;;;;arte e ciência;E
417;Ariane Brand;As doenças das crianças;;Oficina do Livro;Alfragide;26/10/2012;Compra;;;;;
418;Paulo Oom;O plano de saúde das crianças;;Academia do Livro;Alfragide;26/10/2012;Compra;;;;;
419;Fernando Alberca;Todas as crianças podem ser Einstein;;Planeta;Lisboa;26/10/2012;Compra;;;;;
420;Boris Cyrulnik;Resiliência;;Instituto Piaget;Lisboa;26/10/2012;Compra;;;;;
421;Andreia Vidal;365 Atividadeds;;A esfera dos Livros;Lisboa;26/10/2012;Compra;;;;arte e ciência;E
422;Peter K. Smith, Helen Cowie, Mark Blades;Compreender o desenvolvimento da criança;;Instituto Piaget;Lisboa;26/10/2012;Compra;;;;;
423;Sara Rodrigues;100 Histórias do outro mundo;;Asa;Alfragide;26/10/2012;Compra;;;;;
424;Michal Snunit;O pássaro da alma;;Veja;[Lisboa];26/10/2012;Compra;;;;;
425;Beatrice Alemagna;Meu amor;;Books;Ílhavo;26/10/2012;Oferta;;;;Pré-Escolar;D
426;Philippe Nessmann;Todas as respostas às perguntas que nunca te fizeste;;Kalandraka;Matosinhos;26/10/2012;Oferta;;;;arte e ciência;D
427;Philippe Nessmann;Todas as respostas às perguntas que nunca te fizeste;;Kalandraka;Matosinhos;26/10/2012;Oferta;;;;arte e ciência;D
428;Catarina Sobral;Greve;;Orfeu Negro;Lisboa;26/10/2012;Oferta;;;;para refletir;E
429;Benjamin Chaud;A cantiga do urso;;Orfeu Negro;Lisboa;26/10/2012;Oferta;;;;Obras de arte;E
430;Anthony Browne;Um gorila;;Kalandraka;Matosinhos;26/10/2012;Oferta;;;;Pré-Escolar;E
431;Eric Carle;O artista que pintou um cavalo azul;;Kalandraka;Matosinhos;26/10/2012;Oferta;;;;Creche;D
432;Shaun Tan;A coisa perdida;;Kalandraka;Matosinhos;26/10/2012;Oferta;;;;Pré-Escolar;B
433;Paula Carballeira, Sonja Danowski;O Princípio;;Kalandraka;Matosinhos;29/10/2012;Oferta;;;;para refletir;E
