N.º de Registo;Autor;Título;Vol.;Editor;Local de Edição;Data de entrada;Modo de Aquisição;Material Acompanhante;;;estantes;prateleira
55;Kathryn Cave;Vamos falar de dragões…;;Horizonte;Lisboa;30/08/2011;Compra;;;;Pré-Escolar;B
56;Gilles Bachelet;O meu gato é o mais tolo do mundo;;Caminho;Alfragide;30/08/2011;Compra;;;;;
57;M. Christina Butler;Quem comeu a minha papa?;;Minutos de Leitura;Lisboa;30/08/2011;Compra;;;;;
58;Sylvie Auzary-Luton;Mariana e a missâo Primavera;;Minutos de Leitura;Lisboa;30/08/2011;Compra;;;;;
59;Eric Carle;O senhor cavalo-marinho;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
60;Philippe Lechermeier;Sementes de cabanas;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Obras de arte;D
61;Sam Mcbratney;Adivinha quanto eu gosto de ti;;Caminho;Alfragide;30/08/2011;Compra;;;;;
62;Jacques Prévert;Para Fazer o retrato de um pássaro;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Pré-Escolar;C
63;Pedro Stuq Palma;Um dia no hospital dos pequeninos;;Prime Books;[Lisboa];30/08/2011;Compra;;;;;
64;Daphne W. Rocha;O que se vê no abc;;Caminho;[Alfragide];30/08/2011;Compra;;;;;
65;Luísa Ducla Soares;Destrava línguas;;Horizonte;Lisboa;30/08/2011;Compra;;;;;
66;Luísa Ducla Soares;Lenga lengas;;Horizonte;Lisboa;30/08/2011;Compra;;;;;
67;Julia Donaldson;O grufalão;;Babel;Lisboa;30/08/2011;Compra;;;;;
68;Antologia José Viale Moutinho;O grande livro das lengalengas;;Afrontamento;Porto;30/08/2011;Compra;;;;;
69;Graça Breia, Manuela Micaelo;O segredo do sol e da lua;;Cercica;[Cascais];30/08/2011;Compra;;;;;
70;Shel Silverstein;A árvore generosa;;Bruaá;Figueira de Foz;30/08/2011;Compra;;;;Pré-Escolar;C
71;José Jorge Letria;Versos de fazer ó-ó;;Terramar;Lisboa;30/08/2011;Compra;;;;Creche;E
